, Retrieved Horizons , False Horizons ,Percentage
Real-Data Medium-1 ,1742,307,17.62
Real-Data Hard-1   ,2537,689,27.16
Real-Data Hard-2   ,2836,203,7.16
Real-Data Medium-2 ,10900,1952,17.91
Real-Data Easy-2   ,4705,254,5.4
Real-Data Easy-1   ,8010,597,7.45
Simulation-Data Easy ,2000,0,0
Simulation-Data Medium ,2000,5,0.25
Simulation-Data Hard ,2000,675,33.75
