,Retrieved Horizons,False Horizons,Percentage
Real-Data Medium-1,1742,51,2.93
Real-Data Hard-1,2537,398,15.69
Real-Data Hard-2,2836,91,3.21
Real-Data Medium-2,10900,208,1.91
Real-Data Easy-2,4705,98,2.08
Real-Data Easy-1,8010,77,0.96
Simulation-Data Easy,2000,0,0
Simulation-Data Medium,2000,7,0.35
Simulation-Data Hard,2000,150,7.5
