,Retrieved Horizons,False Horizons,Percentage
Real-Data Medium-1,1742,40,2.3
Real-Data Hard-1  ,2537,378,14.9
Real-Data Hard-2  ,2836,66,2.33
Real-Data Medium-2,10900,160,1.47
Real-Data Easy-2  ,4705,70,1.49
Real-Data Easy-1  ,8010,46,0.57
Simulation-Data Easy,2000,0,0
Simulation-Data Medium,2000,5,0.25
Simulation-Data Hard,2000,139,6.95
