,Retrieved Horizons,False Horizons,Percentage
Real-Data Medium-1 ,1742,30,1.72
Real-Data Hard-1   ,2537,369,14.54
Real-Data Hard-2   ,2836,58,2.05
Real-Data Medium-2 ,10900,118,1.08
Real-Data Easy-2   ,4705,54,1.15
Real-Data Easy-1   ,8010,33,0.41
Simulation-Data Easy ,2000,0,0
Simulation-Data Medium ,2000,4,0.2
Simulation-Data Hard ,2000,124,6.2
