,Retrieved Horizons,False Horizons,Percentage
Real-Data Medium-1 ,1742,42,2.41
Real-Data Hard-1   ,2537,378,14.9
Real-Data Hard-2   ,2836,67,2.36
Real-Data Medium-2 ,10900,173,1.59
Real-Data Easy-2   ,4705,71,1.51
Real-Data Easy-1   ,8010,55,0.69
Simulation-Data Easy ,2000,0,0
Simulation-Data Medium ,2000,7,0.35
Simulation-Data Hard ,2000,141,7.05
