,Retrieved Horizons,False Horizons,Percentage
Real-Data Medium-1 ,1742,48,2.76
Real-Data Hard-1   ,2537,390,15.37
Real-Data Hard-2   ,2836,83,2.93
Real-Data Medium-2 ,10900,191,1.75
Real-Data Easy-2   ,4705,84,1.79
Real-Data Easy-1   ,8010,64,0.8
Simulation-Data Easy ,2000,0,0
Simulation-Data Medium ,2000,7,0.35
Simulation-Data Hard ,2000,145,7.25
