,Retrieved Horizons,False Horizons,Percentage
Real-Data Medium-1,1742,58,3.33
Real-Data Hard-1,2537,422,16.63
Real-Data Hard-2,2836,97,3.42
Real-Data Medium-2,10900,210,1.93
Real-Data Easy-2,4705,103,2.19
Real-Data Easy-1,8010,78,0.97
Simulation-Data Easy,2000,0,0
Simulation-Data Medium,2000,11,0.55
Simulation-Data Hard,2000,153,7.65
