,Retrieved Horizons,False Horizons,Percentage
Real-Data Medium-1 ,1742,37,2.12
Real-Data Hard-1   ,2537,371,14.62
Real-Data Hard-2   ,2836,61,2.15
Real-Data Medium-2 ,10900,151,1.39
Real-Data Easy-2   ,4705,61,1.3
Real-Data Easy-1   ,8010,33,0.41
Simulation-Data Easy ,2000,0,0
Simulation-Data Medium ,2000,4,0.2
Simulation-Data Hard ,2000,131,6.55
