, Retrieved Horizons , False Horizons ,Percentage
Real-Data Medium-1 ,1742,78,4.48
Real-Data Hard-1   ,2537,675,26.61
Real-Data Hard-2   ,2836,137,4.83
Real-Data Medium-2 ,10900,712,6.53
Real-Data Easy-2   ,4705,57,1.21
Real-Data Easy-1   ,8010,113,1.41
Simulation-Data Easy ,2000,3,0.15
Simulation-Data Medium ,2000,19,0.95
Simulation-Data Hard ,2000,575,28.75
