, Retrieved Horizons , False Horizons ,Percentage
Real-Data Medium-1 ,1742,98,5.63
Real-Data Hard-1   ,2537,1075,42.37
Real-Data Hard-2   ,2836,137,4.83
Real-Data Medium-2 ,10900,912,8.37
Real-Data Easy-2   ,4705,157,3.34
Real-Data Easy-1   ,8010,313,3.91
Simulation-Data Easy ,2000,6,0.3
Simulation-Data Medium ,2000,24,1.2
Simulation-Data Hard ,2000,616,30.8
